2023-12-01 12:24:44.341919|37.185,1.63125|37.76375,1.3625|37.660000000000004,1.3487500000000001|37.31125,1.3487500000000001
2023-12-01 12:26:44.442722|37.0875,1.65625|37.675000000000004,1.3587500000000001|37.5875,1.34625|37.21625,1.345
2023-12-01 12:28:44.496449|37.07625,1.655|37.66375,1.3575|37.56125,1.34375|37.19375,1.345
2023-12-01 12:30:44.554123|37.0225,1.655|37.66875,1.3587500000000001|37.5325,1.3425|37.1575,1.3425
2023-12-01 12:32:44.592466|37.015,1.5775000000000001|37.56875,1.355|37.49625,1.34125|37.105000000000004,1.34
2023-12-01 12:34:44.595744|36.85125,1.65125|37.51,1.3525|37.456250000000004,1.34|37.04125,1.3375000000000001
2023-12-01 12:36:44.696510|36.8675,1.6475|37.61,1.3575|37.46125,1.34|37.018750000000004,1.3375000000000001
2023-12-01 12:38:44.797639|36.79625,1.6475|37.54125,1.35375|37.40375,1.33875|36.9625,1.33375
2023-12-01 12:40:44.848472|36.8125,1.64875|37.6575,1.3587500000000001|37.56375,1.345|37.1225,1.34
2023-12-01 12:42:44.949378|36.825,1.64625|37.65875,1.3587500000000001|37.575,1.345|37.16125,1.34125
2023-12-01 12:44:44.953498|36.825,1.64625|37.706250000000004,1.36|37.58375,1.34625|37.22625,1.34375
2023-12-01 12:46:45.055649|36.54,1.63875|37.5875,1.355|37.4675,1.34125|37.105000000000004,1.33875
2023-12-01 12:48:45.104468|36.335,1.63125|37.53125,1.355|37.405,1.34|37.05875,1.33875
2023-12-01 12:50:45.162096|36.28125,1.635|37.58,1.35625|37.4,1.34|37.075,1.33875
2023-12-01 12:52:45.262867|35.82125,1.62|37.665,1.3575|37.39625,1.33875|37.07875,1.34
2023-12-01 12:54:45.266716|35.72,1.6175|37.7575,1.3625|37.44375,1.34|37.1375,1.3425
2023-12-01 12:56:45.360473|35.56375,1.61375|37.85875,1.365|37.54625,1.34375|37.230000000000004,1.345
2023-12-01 12:58:45.461360|35.52375,1.61375|37.9825,1.3687500000000001|37.691250000000004,1.35|37.3425,1.35
2023-12-01 13:00:45.519228|33.99375,1.56875|35.09,1.26375|34.6625,1.24125|34.31125,1.24
2023-12-01 13:02:45.620235|35.67875,1.61625|38.2125,1.37625|37.905,1.35625|37.6175,1.3587500000000001
2023-12-01 13:04:45.622688|35.4575,1.61375|37.9475,1.3687500000000001|37.753750000000004,1.3525|37.39,1.35
2023-12-01 13:06:45.711289|35.13,1.6025|37.92625,1.3675|37.685,1.35|37.31,1.3475
2023-12-01 13:08:45.776498|34.49125,1.5825|37.79875,1.3625|37.59875,1.345|37.18875,1.34125
2023-12-01 13:10:45.835090|34.4675,1.58125|37.660000000000004,1.3575|37.49,1.34125|37.055,1.3375000000000001
